"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1140611097076125696""",https://twitter.com/taylorswift13/status/1140611097076125696,"2019-06-17 13:24:11","""Stan/Follow/Support @A_doubleC_D @adamlambert @Adaripp @AdoreDelano @antoni @theebillyporter @bobbyberk @chesterlockhart @ciara #DeltaWork @DexStar84 @TheEllenShow @harto @HayleyKiyoko @QueenJadeJolie @jessetyler @JustinMikita @jvn @Karamo @katyperry @Lavernecox #YNTCDmusicvideo""",Tweet,"Twitter for iPhone",7348,47159,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1140602666890014720""",https://twitter.com/taylorswift13/status/1140602666890014720,"2019-06-17 12:50:41","""A happy meal 🍔 🍟 💗 https://t.co/hPAbOZEsKF""",Tweet,"Twitter for iPhone",105098,406482,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1140599648182243328""",https://twitter.com/taylorswift13/status/1140599648182243328,"2019-06-17 12:38:42","""Stan/Follow/Support! @A_doubleC_D @adamlambert @Adaripp @AdoreDelano @antoni @theebillyporter @bobbyberk @chesterlockhart @ciara #DeltaWork @DexStar84 @TheEllenShow @harto @HayleyKiyoko @QueenJadeJolie @jessetyler @JustinMikita @jvn @Karamo @katyperry @Lavernecox #YNTCDmusicvideo""",Tweet,"Twitter for iPhone",10774,53545,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1140594511325908992""",https://twitter.com/taylorswift13/status/1140594511325908992,"2019-06-17 12:18:17","""The #YNTCDmusicvideo is out! First, I want to say that my co-stars in this video are AMAZING. Please celebrate by supporting their work, following them, and going to see them perform. I’m SO grateful and SO EXCITED I ACTUALLY DO NEED TO CALM DOWN.🍹 https://t.co/787ksrnpBY https://t.co/Oj7GtQ7fxa""",Tweet,"Twitter Media Studio",31908,119284,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1140579059769978880""",https://twitter.com/taylorswift13/status/1140579059769978880,"2019-06-17 11:16:53","""The #YNTCDmusicvideo premieres in 1 hour 💞 

Premiere watch page: https://t.co/gqUZ9FnKU1 

@YouTube @youtubemusic https://t.co/Ek972t3hkE""",Tweet,"Twitter for iPhone",10334,50318,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1140405534115282944""",https://twitter.com/theellenshow/status/1140405534115282944,"2019-06-16 23:47:21","""My friend @TaylorSwift13 asked me to be in her new music video, “You Need To Calm Down.” It premieres tomorrow! Now I need to calm down. https://t.co/NQFMY0e12q""",Retweet,"Twitter for iPhone",11112,93117,"""15846407""","""Ellen DeGeneres""",theellenshow,Verified,https://twitter.com/theellenshow,"Not Protected"
"""1140273222274945025""",https://twitter.com/taylorswift13/status/1140273222274945025,"2019-06-16 15:01:36","""Asked a few friends to be in the You Need To Calm Down video 😄 Out tomorrow at 8:15am ET https://t.co/QFp2Ni4Lb0""",Tweet,"Twitter for iPhone",30068,143097,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1140025869706104840""",https://twitter.com/taylorswift13/status/1140025869706104840,"2019-06-15 22:38:42","""Tea time! Monday morning! 💕 https://t.co/YLt8UD9dNC""",Tweet,"Twitter for iPhone",12614,102416,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1139939719113060352""",https://twitter.com/taylorswift13/status/1139939719113060352,"2019-06-15 16:56:22","""We all got crowns 👑 💕 https://t.co/vI2rXQQMTl""",Tweet,"Twitter for iPhone",21006,133629,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1139749718362398720""",https://twitter.com/taylorswift13/status/1139749718362398720,"2019-06-15 04:21:23","""Can you just not step on our gowns? 💃 https://t.co/A8QPkZicqS""",Tweet,"Twitter for iPhone",15590,112865,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1139585079418785792""",https://twitter.com/taylorswift13/status/1139585079418785792,"2019-06-14 17:27:10","""Alexa, play Today in Music 💗
@amazonmusic https://t.co/XNpxSYrPpG""",Tweet,"Twitter for iPhone",5980,44550,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1139562838891139079""",https://twitter.com/taylorswift13/status/1139562838891139079,"2019-06-14 15:58:47","""A delicious new video comes out Monday morning...💗🎂💗 https://t.co/fnZMz6P5dg""",Tweet,"Twitter for iPhone",21091,134311,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1139384677813219330""",https://twitter.com/taylorswift13/status/1139384677813219330,"2019-06-14 04:10:50","""Gxgjxkhdkdkydkhdkhfjvjfj 

https://t.co/XjL0jBb4i0 https://t.co/8J6Bc89NQx""",Tweet,"Twitter Web App",32881,129541,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1139365833011015680""",https://twitter.com/taylorswift13/status/1139365833011015680,"2019-06-14 02:55:57","""There were five posts in the fence. https://t.co/dHgwKbd1Q5""",Tweet,"Twitter for iPhone",13562,91222,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1139282660860334107""",https://twitter.com/taylorswift13/status/1139282660860334107,"2019-06-13 21:25:27","""Lover, album out August 23. Cover shot by the artistic genius that is @valheria123 💗 Pre-add, pre-save, pre-order (all the pre stuff you feel like doing) Can’t wait for you to hear this. https://t.co/SGjcCUYZdM https://t.co/IPy54raQUF""",Tweet,"Twitter for iPhone",64646,218071,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
