"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""777401909728669697""",https://twitter.com/katyperry/status/777401909728669697,"2016-09-18 07:00:33","""@Jes00sica everything's a lie, watch zeitgeist.""",Reply,"Twitter for iPhone",505,1767,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""777401645277806596""",https://twitter.com/katyperry/status/777401645277806596,"2016-09-18 06:59:30","""@evrenperry stay shook papa""",Reply,"Twitter for iPhone",594,1967,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""777401520774144000""",https://twitter.com/katyperry/status/777401520774144000,"2016-09-18 06:59:00","""@KatysMyHabibi @katystumblrr meaning I need more space on my phone to do stories cause I'm a secret hoarder.""",Reply,"Twitter for iPhone",553,1865,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""777401069815140352""",https://twitter.com/katyperry/status/777401069815140352,"2016-09-18 06:57:13","""@fridaaperry @katystumblrr this is true. I meant to add there was condiments on the first 1 and the 2nd one I didn't have time. 😔""",Reply,"Twitter for iPhone",507,1797,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""777400825245229056""",https://twitter.com/katyperry/status/777400825245229056,"2016-09-18 06:56:14","""@katyperryslave @katystumblrr cuz I'm hungry, u?""",Reply,"Twitter for iPhone",638,1915,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""777400477092814848""",https://twitter.com/katyperry/status/777400477092814848,"2016-09-18 06:54:51","""@katystumblrr to b clear the 1st time means my 1st hot dog. There were 2.  #moreshame #idcimwriting #helovesmeforme""",Reply,"Twitter for iPhone",546,1821,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""777400164801777664""",https://twitter.com/katyperry/status/777400164801777664,"2016-09-18 06:53:37","""@katystumblrr cuz I tried to do it the 1st time &amp; I didn't have any space so I deleted an app &amp; had to do it again &amp; then my fv song came on""",Reply,"Twitter for iPhone",621,1982,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""777376460470362112""",https://twitter.com/katyperry/status/777376460470362112,"2016-09-18 05:19:25","""I no longer subscribe to organized religion but I believe in @chancetherapper 🙏🏼""",Tweet,"Twitter for iPhone",3694,15326,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""777227840135716864""",https://twitter.com/katyperry/status/777227840135716864,"2016-09-17 19:28:51","""😩me and you when we fight😩 https://t.co/yeFbCoV3us""",Tweet,"Twitter for iPhone",2446,9085,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""777089823869763584""",https://twitter.com/katyperry/status/777089823869763584,"2016-09-17 10:20:26","""@perrysmic it was a belly laugh tbh""",Reply,"Twitter for iPhone",588,2066,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
